"Check","Status","Database","ResponseTime","Timestamp"
"1","healthy","healthy","6,2288427","2025-10-17T10:16:42.292Z"
"2","healthy","healthy","3,8103432","2025-10-17T10:16:49.144Z"
"3","healthy","healthy","0,1459062","2025-10-17T10:16:52.286Z"
"4","healthy","healthy","0,1508456","2025-10-17T10:16:55.414Z"
"5","healthy","healthy","0,1090399","2025-10-17T10:16:58.567Z"
"6","healthy","healthy","0,1599157","2025-10-17T10:17:01.681Z"
"7","healthy","healthy","0,1473231","2025-10-17T10:17:04.834Z"
"8","healthy","healthy","0,1171233","2025-10-17T10:17:07.990Z"
"9","healthy","healthy","0,111552","2025-10-17T10:17:11.108Z"
"10","healthy","healthy","0,193824","2025-10-17T10:17:14.299Z"
